,product_image,product_name,product_price,product_discount,product_after_discount,product_rating,service
40,https://media.dekoruma.com/catalogue/NRA-462060.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio ASUKA Bangku Bulat 30cm - Abu,,,"Rp180,000",['132'],se-Jabodetabek
41,https://media.dekoruma.com/catalogue/NRA-414160.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio MICHI Sofa 1 Seater Abu-Abu Tua,"Rp3,732,000",44%,"Rp2,089,000",['117'],se-Jabodetabek
42,https://media.dekoruma.com/catalogue/ANA-436598.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Ananta Mardy Puff Hitam,"Rp600,000",50%,"Rp300,000",['103'],se-Jawa
43,https://media.dekoruma.com/catalogue/NRA-461985.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio SADI Stool - Krem,"Rp564,000",38%,"Rp349,000",['61'],se-Jabodetabek
44,https://media.dekoruma.com/catalogue/NRA-447125.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio JUN Sofa 3 Dudukan Abu Muda,"Rp6,307,000",36%,"Rp4,029,000",['39'],se-Jabodetabek
45,https://media.dekoruma.com/catalogue/NRA-444158.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio EITO Sofa 1 dudukan Krem,"Rp3,127,000",29%,"Rp2,199,000",['98'],se-Jabodetabek
46,https://media.dekoruma.com/catalogue/VDA-324220.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Ananta Fernando Sofa Bed Abu Graphite,"Rp5,435,000",40%,"Rp3,261,000",['223'],se-Jawa
47,https://media.dekoruma.com/catalogue/NRA-461981.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio SHIGI Bench dengan Storage - Abu,"Rp339,000",35%,"Rp219,000",['53'],se-Jabodetabek
48,https://media.dekoruma.com/catalogue/NRA-453543.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio EITO Stool Kream,"Rp1,786,000",35%,"Rp1,149,000",['29'],se-Jabodetabek
49,https://media.dekoruma.com/catalogue/NRA-453542.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio EITO Stool Abu-abu,"Rp1,786,000",35%,"Rp1,149,000",['28'],se-Jabodetabek
50,https://media.dekoruma.com/catalogue/NRA-444157.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio EITO Sofa 1 dudukan Abu Tua,"Rp3,127,000",29%,"Rp2,199,000",['92'],se-Jabodetabek
51,https://media.dekoruma.com/catalogue/NRA-462066.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio KENJI Bangku Lipat - Krem,"Rp234,000",36%,"Rp149,000",['47'],se-Jabodetabek
52,https://media.dekoruma.com/catalogue/NRA-461986.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio SADI Stool - Abu,"Rp564,000",38%,"Rp349,000",['49'],se-Jabodetabek
53,https://media.dekoruma.com/catalogue/NRA-461649.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio SHIORI Sofabed 2 Dudukan - Terakota,"Rp8,571,000",30%,"Rp5,999,000",['5'],se-Jabodetabek
54,https://media.dekoruma.com/catalogue/NRA-460378.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio EIRI Sofa L,"Rp5,860,000",31%,"Rp3,999,000",['35'],se-Jabodetabek
55,https://media.dekoruma.com/catalogue/NRA-463006.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio TAKA Sofa Kulit 3 Dudukan - Cokelat Tua,"Rp5,945,000",32%,"Rp3,999,000",['23'],se-Jabodetabek
56,https://media.dekoruma.com/catalogue/NRA-461978.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio NOJI Stool dengan Storage - Navy,"Rp213,000",34%,"Rp139,000",['41'],se-Jabodetabek
